image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0097,81.507823 137.249488,82.750431 146.717961,87.705807 158.492623,94.182094 168.767937,100.458809 180.621331,105.664414 190.218175,114.075818 199.886223,123.408394 209.004172,134.561753 210.446353,145.265307 206.668892,157.618144 196.158401,169.613945 185.383643,180.227673 174.401914,185.140579 160.740062,185.270916 144.628847,185.082888 128.720734,183.87478 115.335443,77.514858 122.66236,82.704549 119.244092,89.517849 119.635976,96.264785 121.35302,103.666175 123.819511,122.872088 122.399415,133.103298 117.231545,142.559214 114.057247,152.85257 115.017045,161.849279 119.459122,113.692419 132.084373,113.233885 142.893956,113.262658 153.214758,112.796923 163.57821,105.292478 167.935847,110.202319 170.206433,116.574916 171.831745,122.922834 169.148237,128.237806 167.801229,89.197725 132.783984,93.339521 129.62561,99.87897 129.786989,104.416094 133.974543,98.908473 135.024686,93.488181 134.685651,132.438075 131.765064,137.132978 127.871533,144.025635 126.913922,149.349726 130.21827,144.684891 132.514569,138.573954 132.856837,110.418302 183.237597,114.261772 179.806255,117.357077 178.357827,121.211051 180.020646,127.231809 178.478824,135.293548 179.541988,142.906056 181.217801,136.227826 186.614319,127.628699 190.11432,121.9544 190.136678,117.836807 188.719908,114.45044 187.190473,113.032785 183.355759,117.572832 183.079153,121.788467 183.358738,127.541611 183.229087,139.110871 182.474446,127.541611 183.229087,121.788467 183.358738,117.572832 183.079153
image_0098,187.784669 168.661083,195.964751 186.406778,203.64575 201.412563,215.157296 215.177673,228.438776 225.46436,243.725879 233.136588,264.023728 237.788379,283.778182 238.198687,299.872758 234.267123,314.265091 223.952457,323.697861 208.938308,327.574122 193.732755,327.539837 177.102342,325.697504 162.427202,323.737188 148.135252,322.238716 134.879928,316.903311 121.128477,210.355429 141.179586,217.161104 132.95894,226.263637 124.931126,237.974981 119.24558,250.476372 116.491909,274.354959 112.864614,282.100978 106.422663,290.98238 102.886555,299.16617 104.236369,307.15713 109.122292,269.674277 125.851111,275.759522 135.075439,281.676947 144.525602,285.910268 153.562437,270.849007 165.915232,278.647136 165.070199,286.409644 165.309674,291.441752 161.534091,294.473078 157.464901,230.681633 144.449153,234.408868 137.393084,242.002051 133.254332,250.338526 139.112413,246.232481 143.337579,239.287939 145.367896,284.029285 129.587362,287.712813 121.477283,295.125281 119.401555,301.46303 125.169367,298.123525 128.685219,291.73823 130.76472,269.417555 199.775422,276.086457 186.900947,283.014778 181.006996,289.371391 179.932469,293.08965 177.206851,300.389999 178.637473,308.471217 187.241436,305.864544 194.965854,301.813627 197.271842,297.371579 199.575721,291.992589 201.238578,283.4019 202.903704,274.218448 196.723841,285.232305 186.855773,291.348847 185.37524,295.626873 184.281009,302.494095 187.518669,297.977233 190.569241,294.033315 192.015772,288.872602 193.944772
image_0099,123.577222 271.470996,126.918836 294.15499,133.073796 314.98063,142.727726 336.64947,154.232865 354.974593,171.602886 371.025543,191.200632 383.576142,212.868246 392.921414,236.807095 395.666907,252.821813 388.186925,264.818646 370.708022,275.09507 352.111826,282.642993 332.15011,284.917168 312.188394,284.917168 291.361933,282.599084 273.171076,279.449526 251.531593,145.350328 261.763522,154.680687 250.660991,167.956639 244.887053,183.440773 242.256108,196.443138 248.769194,231.857422 239.688106,241.166876 231.084091,251.389643 228.32455,262.295886 230.64925,271.124382 237.720428,216.789761 260.447799,221.134963 274.988527,225.482383 290.614168,230.329038 306.13484,211.695686 314.959068,221.035426 316.913182,228.425329 320.185564,235.12773 315.185428,240.083957 310.366006,165.799973 270.21648,172.431904 264.826467,182.382257 263.226514,192.062094 267.894229,184.005269 268.84351,174.055816 270.429172,233.591148 259.956683,240.035531 252.084826,248.795307 249.481326,256.467328 252.530135,252.054955 255.781625,243.376897 258.006492,186.645364 338.714225,203.645137 335.531275,218.57208 333.157512,228.845258 332.889261,237.725203 329.41934,246.494286 327.849098,258.723129 325.279402,249.719885 348.355478,240.788566 354.118708,231.424307 356.643241,220.253951 357.389105,202.133778 353.344921,192.407636 339.212026,218.881503 337.509151,229.297304 337.056637,238.697306 332.924326,253.770374 328.099996,239.833123 344.736826,230.366081 347.952397,219.933906 350.040384
image_0100,119.099303 95.574035,106.559984 109.524233,96.678012 131.630211,93.129216 155.855942,96.350239 175.929496,103.299256 192.956684,111.559364 207.807413,122.920959 220.341536,137.532829 224.773354,148.671072 225.593406,160.110614 213.322846,173.593547 203.480579,180.927042 196.085837,189.934566 188.153502,199.177993 178.249988,204.426899 168.678788,208.810439 159.763134,147.318391 111.124556,159.249788 112.619386,170.822789 118.825529,178.785748 127.264835,185.223253 137.614073,201.999527 143.085747,207.731136 142.649342,211.913449 142.297301,215.969215 142.76209,219.940618 142.860253,187.425794 148.496365,185.249335 157.503888,183.610471 166.240344,182.356085 175.155998,162.824666 175.033506,167.65393 179.237847,170.691215 182.935218,176.149942 184.368802,180.835173 184.609247,153.678486 129.280181,160.339743 129.529091,166.403407 132.798243,168.597155 138.176785,163.525682 136.757929,158.425906 133.465554,198.558258 149.708675,203.755149 149.442655,207.480046 151.488726,207.312024 155.401226,204.58575 155.741608,200.891461 153.51276,137.685945 183.682633,150.043904 187.095278,158.415044 190.247172,161.959299 193.944543,165.984443 194.569466,172.43103 198.59915,169.861012 199.726503,165.65667 204.350487,159.721595 208.07848,154.68705 207.27436,148.454825 204.564849,141.870301 197.883174,140.937591 186.396686,155.137316 195.168306,159.009344 198.266836,163.720656 198.563986,167.295534 199.39873,163.720656 198.563986,159.009344 198.266836,155.137316 195.168306
image_0101,119.968614 123.677489,118.553699 142.025919,118.605942 160.372005,119.871829 180.181885,128.910641 196.368002,141.335082 210.03359,157.258703 221.60731,172.853322 229.705882,192.63528 234.440265,210.089071 228.284086,226.423621 214.219636,239.775879 198.650171,248.887904 184.559275,251.541193 169.949076,251.56764 153.915787,250.691595 138.12828,249.569767 122.20466,136.532859 111.192768,144.864418 102.155647,157.614151 101.115747,171.590263 106.622603,182.001303 114.474728,209.350433 109.734915,217.91412 102.976212,227.81897 99.528804,237.805746 99.337209,243.865869 107.970221,193.099639 129.471703,194.785062 143.197725,195.382382 155.881435,196.339493 169.105229,180.335431 172.931999,187.118094 175.803861,193.596665 178.38802,201.111259 176.075447,205.988986 173.028553,153.838162 133.539896,160.418068 130.113825,168.37949 129.760534,174.602287 133.858288,168.266162 138.203703,159.573018 138.330923,207.953876 133.685539,215.728962 129.372836,224.328331 127.893515,230.138119 131.964209,225.304836 136.998748,217.18822 137.321991,171.009698 193.938825,180.030073 191.458182,186.802233 189.873109,193.20345 190.901691,199.263074 189.219989,205.485076 189.961269,213.719135 190.876542,205.52953 198.897636,200.044344 201.074483,193.193156 201.551866,187.244488 202.086708,180.087312 200.138961,174.547384 194.229242,186.85143 194.059271,193.149563 194.622089,199.436584 193.43331,209.847759 191.96169,199.436584 193.43331,193.149563 194.622089,186.85143 194.059271
image_0102,221.16313 145.407162,223.393101 159.103868,225.790056 172.175959,229.281927 185.200061,235.009284 197.299459,243.125995 207.795589,254.261743 217.040201,267.798122 225.324144,283.876781 226.601046,299.162449 222.77034,311.562631 213.206266,320.794327 201.586606,327.001224 190.285712,330.502782 178.027824,330.661469 163.864295,329.228413 150.970962,328.591577 136.010518,234.65388 134.144794,240.826969 125.989409,250.113897 122.965353,260.800123 124.982102,270.848769 127.442597,282.272319 126.471183,290.546973 121.851063,299.492916 119.197429,309.296717 120.222731,315.27458 125.282971,276.867207 136.332066,277.185973 146.043303,277.822114 155.753844,278.458951 165.782456,267.794893 170.872975,272.568734 174.548223,278.464713 176.121985,284.189089 172.464024,289.759844 168.802387,243.287464 139.360344,249.175595 134.425034,256.338094 135.542106,261.428614 140.636104,255.128666 142.734448,247.423077 143.02054,290.377294 137.062014,294.531598 131.562399,301.373941 130.288726,306.536247 133.860629,302.649005 137.449139,296.602187 138.405437,261.763886 193.362911,269.406621 187.934983,276.667844 184.540061,281.146293 185.442122,286.466542 183.105168,293.962125 185.047354,302.987109 189.13682,295.963959 195.382491,288.32654 197.943896,282.756033 198.576808,278.155436 198.737582,271.457921 198.565979,266.330118 192.619787,277.012816 188.1691,281.447162 187.969485,287.068926 186.660614,297.272134 189.208606,287.635416 192.285905,282.137143 193.170417,277.33804 192.722237
image_0103,184.752372 126.012479,185.992389 138.812746,187.523371 152.818399,189.910639 167.197032,194.425729 179.74229,199.33173 191.972705,208.361817 202.161842,218.612854 211.526795,232.47666 214.602929,246.352174 211.56173,258.646673 203.28287,268.216509 192.737362,277.980106 177.396552,285.010531 166.346069,286.452795 151.653962,286.550038 136.933961,284.752453 121.985684,191.125084 115.65281,196.723063 109.07916,204.607993 109.944132,213.254069 113.327838,220.761862 117.839444,231.542519 117.981291,240.482672 112.52516,249.758432 109.487444,258.87158 107.504952,264.642553 115.196121,227.588988 129.312475,227.408353 140.196702,227.075331 150.697734,226.625023 160.776007,217.232814 164.229486,222.041219 166.520197,227.231122 167.897624,233.700411 165.655309,238.760166 163.969565,199.445938 130.95209,203.061424 126.319401,210.243993 128.7482,215.637829 133.674964,209.410167 135.574396,203.570025 135.107325,240.749109 132.405216,245.799698 128.133335,250.875951 125.374876,255.802716 128.229215,253.534464 132.390304,247.33795 132.809621,212.180426 182.248573,219.995419 180.005893,224.644715 178.725762,228.845241 178.621287,234.432162 178.058707,242.108081 178.977494,250.810266 180.293745,242.978573 188.168664,234.769952 189.840752,229.040545 189.731431,224.515199 189.213781,220.147277 188.907351,215.594233 182.942247,224.452395 180.873021,228.867615 181.168743,234.469961 180.953373,247.420336 180.957688,234.398128 184.138956,228.805129 184.222378,224.439723 184.005378
image_0104,108.79766 118.571832,105.613996 134.367658,103.400499 151.719347,102.618902 169.149344,111.165677 185.918767,124.188284 201.338669,137.237038 213.201493,154.352127 223.011996,172.77559 230.445809,189.290125 227.842594,204.172276 215.569725,213.539222 200.293086,221.324683 185.868963,225.053811 168.82639,227.892058 152.089797,229.146948 136.998942,229.901632 123.557833,128.343388 101.789981,139.566419 90.824877,154.133499 88.280864,168.244172 93.843282,178.386478 104.662675,194.589337 107.71676,204.869542 102.996604,215.358066 100.696232,225.759585 103.930904,228.797946 112.955485,188.829597 116.779493,189.332652 129.261646,189.900364 141.615229,189.900364 154.371266,172.957184 160.021064,180.046414 164.060685,186.791178 167.342501,192.249288 166.971372,196.713376 166.26076,144.051881 114.903906,150.541256 110.047713,159.220108 112.766714,165.874986 120.546416,157.484164 122.276804,148.992105 121.368168,198.926159 126.236153,204.790052 119.029058,214.707902 119.400108,219.10155 125.875159,213.601581 128.593558,206.813849 129.037074,157.758984 187.666055,167.888506 183.885114,175.364714 182.71345,181.250877 185.640772,187.062099 183.783232,192.265825 186.548751,197.034443 191.823579,191.623185 195.38015,186.585917 195.836753,180.481603 195.575852,174.060575 194.697092,167.095184 193.36503,160.888695 188.068509,175.053569 188.076867,181.143927 188.915088,186.786616 189.087505,193.799014 190.594538,186.786616 189.087505,181.143927 188.915088,175.053569 188.076867
image_0105,93.307447 96.45232,94.974024 110.872558,98.127306 123.845428,102.622558 135.770008,107.990437 145.308532,113.682922 154.52245,120.217105 162.97755,127.43984 169.463985,140.057175 173.007935,149.266888 168.982026,159.160947 160.64494,168.870931 150.60194,176.407695 140.534355,180.882704 128.239339,182.464554 115.509783,183.065846 102.850823,183.825933 90.647032,98.625636 89.864878,102.428397 82.745121,111.252206 82.002565,119.500528 83.380041,128.268365 86.349249,138.429777 87.288232,148.04658 82.977875,157.919054 80.769827,168.388972 81.818863,174.985391 89.035491,133.91366 93.693909,133.225108 102.609943,132.39182 111.271636,131.703269 119.678988,125.247761 122.840681,129.414203 124.831864,134.198928 126.2441,139.277333 124.252916,143.744063 123.426927,108.021364 94.452727,112.121744 90.970632,117.634359 91.729449,121.300529 95.281809,116.801072 97.206931,111.362928 97.027062,149.864148 93.216156,153.999661 90.098005,159.328201 89.663795,163.209373 92.89155,159.652808 94.777333,154.613741 95.10194,120.699174 138.057735,124.879215 134.643573,129.214372 134.557474,134.093325 137.896302,141.858375 134.841947,148.025302 135.449003,152.661985 138.595833,148.720724 143.437185,142.665272 145.469793,134.046411 147.243237,128.759064 146.305812,124.575335 143.508673,123.429802 138.394268,128.875932 139.146428,134.026849 140.716979,142.171026 138.801916,149.244611 138.515366,142.171026 138.801916,134.026849 140.716979,128.875932 139.146428
image_0106,126.764289 124.718211,129.408168 142.965388,134.275992 159.425302,140.316228 174.942673,147.75875 187.408125,157.827673 199.310432,169.195474 208.844849,181.327651 219.701207,195.925893 224.432619,210.303361 219.061465,221.446605 206.942453,231.486762 195.032397,240.272133 181.424347,245.939581 166.181762,247.887981 147.678146,248.436811 132.304677,249.839095 115.614892,134.625578 115.743538,143.176503 110.436739,153.779637 109.778571,163.857378 111.504131,173.620098 113.395877,193.617281 111.675413,204.240836 105.191554,214.230416 100.693331,224.763343 99.376459,235.900203 102.273372,184.402552 123.222894,185.693313 134.938059,187.387436 146.99271,189.111215 159.074171,176.962216 164.116562,183.856315 165.630965,190.832542 168.201889,197.203404 163.962763,203.57657 161.118239,147.471793 128.132928,154.173 123.80158,161.496927 123.476141,168.506747 127.751394,161.670952 128.735376,153.820682 129.159277,204.649462 123.689742,210.235538 118.109246,218.109159 115.816121,225.603384 118.287414,220.580453 121.856358,213.212694 123.385108,165.476752 175.825023,174.566153 173.673485,184.44712 172.205454,191.804862 174.28702,199.076401 170.506531,207.923805 169.641702,219.299494 169.630858,212.772086 189.233797,202.4399 195.70269,194.517242 198.060322,185.735597 196.926423,174.895629 190.535924,168.972303 176.685242,184.613877 178.32578,192.343446 178.669352,199.798454 176.866847,216.478237 171.649352,201.410454 188.442261,193.636154 190.183591,185.276967 188.91496
image_0107,327.777131 93.327909,326.706973 106.134885,327.965435 119.705302,330.195694 131.997616,335.871985 143.216125,344.952975 154.485291,360.092513 162.434966,374.485404 168.444628,385.934216 170.545204,393.614526 169.563845,402.427683 163.278468,408.288583 156.57679,414.430652 146.806805,420.539901 134.998744,424.630564 123.481979,426.513247 112.095669,427.892747 103.142849,357.357857 92.382653,367.370152 89.543667,377.434933 89.543667,387.643023 89.121916,397.856313 87.167064,404.079254 87.024066,411.072228 86.850662,417.311309 89.159004,422.65982 91.412871,427.383345 94.010406,399.772948 95.247632,400.054115 104.328327,400.748856 114.677,401.300289 124.606648,385.374607 126.969314,391.230057 129.905215,396.958551 132.989877,402.695222 131.170467,406.890925 128.794174,367.440749 99.765521,371.990181 97.130464,377.620856 97.55831,379.609797 102.935235,375.258078 104.333516,370.056373 102.03634,404.46257 102.741852,409.191703 98.938542,415.126249 98.945497,417.51214 102.696337,415.403834 105.745066,410.011753 105.532621,366.989248 143.030899,378.953098 140.741989,391.111928 139.144094,395.900045 139.720983,400.291316 139.054072,403.682449 140.552917,407.307224 145.276739,402.40559 148.795322,398.896673 149.524657,394.421602 149.548006,389.027205 149.053564,377.388297 147.335574,373.967562 143.575076,390.292588 142.517825,395.227239 142.646755,399.368961 142.493844,405.33257 144.644499,399.211404 145.703602,394.924387 146.907521,389.426487 146.955993
image_0108,107.632373 251.9764,108.380164 279.990553,113.046956 306.482329,123.108238 332.226315,138.083342 356.020847,152.330751 371.91709,169.989702 374.49376,183.889603 380.862975,204.185511 380.308627,224.207596 379.08687,242.273529 372.731052,262.616327 365.380413,276.309387 342.100037,286.357272 317.591206,290.523303 290.151498,290.756938 266.904614,289.53518 241.928516,121.001885 221.654834,128.610482 204.192331,147.125167 197.783269,164.853866 196.963383,179.453109 202.659703,197.441994 201.884348,213.118 192.297033,232.472675 192.517269,245.945499 200.368669,259.705545 209.188098,189.871117 216.258214,191.346604 232.18795,193.556486 246.642198,196.013397 263.820485,182.333734 285.571785,191.373399 286.806939,199.678669 287.294303,208.237669 284.830692,215.568214 282.133448,140.850972 231.701808,147.282957 223.402014,158.5459 222.660922,167.358629 227.794982,159.502165 231.22546,150.01012 233.15421,219.287073 226.826953,226.604221 219.730043,239.356048 220.484533,246.185831 228.542773,237.386499 229.023438,228.086406 228.529376,162.738011 330.29547,181.283246 320.675392,189.923288 315.514551,199.3372 318.258671,209.953488 313.966125,221.697095 317.670873,237.126071 324.748403,222.691918 324.474578,211.259477 325.610714,200.550153 327.179939,191.357195 327.546785,181.717751 327.17324,167.899567 328.085588,190.668259 321.650835,199.741402 321.50424,210.211095 319.167142,231.250918 322.531824,210.211095 319.167142,199.741402 321.50424,190.668259 321.650835
image_0110,120.840896 145.820986,118.173592 166.996036,120.131219 189.876116,121.615729 208.685575,124.046474 227.731593,131.110169 248.792373,141.550847 268.605203,155.914798 284.853608,172.790687 289.894524,194.748587 292.668079,223.256971 283.116502,244.905139 270.065655,261.161564 254.877757,275.623747 234.004419,283.51139 211.752825,286.35812 182.812421,289.025424 152.868644,128.38573 117.035948,137.456169 110.926508,148.900218 115.902269,159.275742 120.41293,170.311828 128.537133,197.693548 129.540505,215.891562 124.026471,231.373154 120.290642,249.158987 120.330841,262.495304 132.409325,183.134135 145.878121,179.039457 161.889967,175.71961 179.264034,171.331238 196.638099,162.893882 205.430819,167.987732 210.157523,175.382388 213.151559,183.957108 211.145144,191.440377 208.854987,140.767997 144.915847,151.207549 144.437352,161.298524 144.793557,168.655914 151.318981,156.738746 154.287999,144.870694 151.979543,207.457627 155.478814,219.511995 149.531438,233.208493 151.188674,243.118917 156.359896,233.738746 162.534491,220.21478 161.351695,146.945639 233.666196,158.037035 227.38312,165.411494 225.657501,170.333434 228.556377,178.227211 228.047572,191.728643 231.405694,208.999271 239.828185,192.198761 252.216593,178.567082 253.402036,171.858168 253.435764,166.015178 252.84969,158.939511 251.618875,153.198316 235.34245,165.652714 236.975766,171.16005 237.389985,178.103331 238.284746,202.539001 240.953846,178.103331 238.284746,171.16005 237.389985,165.652714 236.975766
image_0111,118.484267 173.194941,120.70712 186.037632,121.288867 200.082236,122.309965 213.686327,126.241019 226.64329,134.624203 237.635269,145.995991 247.359395,157.569324 255.286871,173.287224 257.15728,186.833466 254.838826,199.51703 248.150246,210.802317 239.476159,218.919651 230.99432,226.408337 219.239072,225.998177 202.013312,225.555938 185.960862,224.995081 169.01706,128.615086 172.851129,134.4128 166.100293,142.5007 164.636796,151.781543 163.562955,161.235713 168.267562,182.214348 167.898657,190.11429 161.880407,200.025308 159.877217,209.528914 161.774246,217.456981 166.376558,171.793988 173.873448,172.464929 186.210549,172.839673 197.8807,173.56352 209.802458,161.893739 209.887483,166.940092 213.836164,173.776411 216.129237,179.964422 213.536427,184.625534 209.714273,140.066236 176.052185,144.762023 173.026234,151.2326 173.265075,156.590446 177.481597,151.054271 178.771065,144.648138 178.522601,188.198962 175.638325,192.961524 169.759428,199.726834 169.343339,205.43167 172.484452,200.93588 175.402191,194.555847 175.643346,151.654053 221.241589,162.573367 222.721513,169.66571 222.273022,175.108443 223.260519,181.006653 221.422788,188.544138 220.653249,197.305033 217.937392,189.203055 227.584838,182.628682 232.213332,176.292947 233.282894,170.816135 233.032196,162.694112 230.892891,155.522445 222.689322,169.913257 226.344439,175.53628 226.558339,181.626423 225.704508,192.291882 220.372154,181.626423 225.704508,175.53628 226.558339,169.913257 226.344439
image_0112,110.064887 212.223637,111.212728 232.296363,113.935152 251.423636,115.064848 275.872122,120.950909 294.012727,133.893939 309.287879,149.918182 321.244242,170.041818 328.856364,188.972727 329.38,209.41394 326.689091,230.657575 319.365454,247.576364 308.230909,260.129091 289.658788,263.457576 270.429697,263.848298 247.672745,264.219101 226.341819,265.226724 203.780698,118.402752 195.599261,126.200264 184.66525,139.137115 180.13261,151.670006 179.024851,162.475481 184.217957,204.660917 181.017083,216.982574 177.246735,229.410157 179.353234,240.999457 179.811541,249.562635 188.853757,182.740838 192.675855,182.928735 210.329121,182.679215 227.266706,182.512707 244.360066,168.427625 248.696098,174.327199 252.28664,181.932014 257.663618,191.984334 251.818039,200.983417 248.811822,135.28942 203.594956,142.244014 198.641337,152.429169 199.503991,159.992097 204.26764,150.195477 206.470227,141.580118 206.317343,211.069697 204.994545,218.218787 198.67697,227.617575 198.759393,232.824848 202.795758,227.268485 206.904849,219.38 206.298788,150.718043 272.957064,162.889588 268.769388,170.676841 267.199591,183.961878 267.814968,195.608106 265.496714,206.336954 266.564701,219.984038 271.670284,206.886403 281.629122,196.387787 286.522933,183.697 289.115185,170.535334 287.611258,162.42194 283.520214,154.480488 273.812056,170.752051 272.658145,183.765957 273.146919,195.874921 271.618961,213.858259 272.74975,196.25336 277.73877,183.569487 280.115697,170.704567 279.202654
image_0113,69.201938 236.8039,76.04957 254.802908,82.268045 272.541295,91.112607 289.055692,103.661347 304.257854,123.104575 314.573561,143.971555 321.580485,167.779786 325.713648,184.257408 321.150457,193.493052 309.44339,191.870041 293.289488,193.365052 284.277198,194.213887 267.891645,194.401464 253.489865,193.598875 240.018673,194.078165 228.468176,189.317926 221.114764,111.162844 220.812716,118.986805 212.730342,128.355256 206.248775,139.410958 204.837207,150.614448 205.676571,170.35838 204.202935,176.092869 199.220801,181.0096 195.443207,186.02111 192.97246,190.492654 195.933912,165.487063 215.445206,173.823838 227.726039,181.865989 238.210836,189.486561 250.115374,169.257788 263.553694,176.525889 263.175218,183.760708 263.717582,187.116256 260.884975,189.289518 257.627549,127.921366 227.481026,133.942793 222.72338,139.786113 220.087823,144.968176 224.885258,141.671361 228.843331,135.028468 230.393214,171.746273 217.454199,175.7455 211.620256,182.023247 210.148114,184.806592 213.444929,184.196508 216.750107,179.278182 218.699021,160.417052 288.165528,170.880397 282.6989,178.599494 279.974289,183.747798 280.158429,186.611569 278.648336,190.67981 277.679284,190.30206 280.782489,189.084102 287.456124,185.856553 291.369535,182.881058 293.129223,177.446678 295.254139,170.570152 295.102505,165.393696 287.680893,178.651772 282.993034,183.56022 282.701917,186.439073 281.663487,188.52137 280.675338,186.248479 284.712992,183.338884 287.733177,178.461178 288.710856
image_0114,309.645071 725.960517,315.705572 775.945829,326.560395 832.335075,337.198761 883.973132,361.780743 926.826068,395.925319 967.427758,434.419525 1003.112815,485.259714 1025.895714,545.957702 1031.012814,602.847802 1010.305304,646.043455 973.318497,674.550269 926.980828,700.331705 887.644558,712.22234 842.215871,710.843244 784.722826,706.074156 723.902383,702.119296 671.615147,339.729526 712.455784,358.57764 690.473252,388.214618 679.781942,421.042467 674.318915,451.848402 683.205725,502.968366 676.26525,536.559821 657.755742,571.156709 655.923675,606.774314 661.109086,635.946388 678.122758,486.843284 719.215275,489.974968 754.903329,492.159869 792.947008,495.437395 833.244559,457.769349 822.281453,475.277318 837.881986,496.392085 849.332654,524.740918 829.764406,545.570402 811.73863,380.736971 726.915119,397.086741 716.80958,420.085596 715.590025,436.635339 726.206923,417.529976 732.05782,398.055881 734.460126,546.647359 711.631667,564.630265 696.905953,586.772323 695.096948,604.394648 702.513614,588.068996 709.506509,568.469448 711.656879,432.818906 884.131423,465.898824 873.30903,489.835612 868.904182,515.311905 870.166428,538.458185 860.792956,567.050017 856.863812,605.278103 857.245645,580.637507 905.776955,554.512771 920.002939,528.830657 931.711991,499.155029 930.413658,471.750582 924.102904,448.892577 880.783129,490.611467 874.318042,517.051998 877.498781,540.125156 867.116986,596.231421 859.151358,548.592769 902.051369,522.940998 909.611425,495.703733 909.75546
image_0115,191.493453 128.192816,189.799787 144.933135,190.230569 159.188641,190.891927 173.774089,197.217448 188.232422,208.061198 198.172526,222.971354 207.916397,241.841668 215.807984,257.189283 216.169822,271.903206 215.145564,285.699119 206.636549,296.647218 195.823426,301.061098 186.921945,304.510076 174.843339,306.400083 161.231088,311.475849 142.991563,310.579252 131.267898,218.065018 115.418727,227.979311 110.033986,239.799888 107.600001,250.080546 108.872445,258.77382 114.103324,274.044765 114.689254,283.408982 110.405872,291.316703 109.882146,300.002127 112.774133,304.961273 119.335179,266.270733 125.142819,266.722556 134.931682,267.339985 143.606303,268.123018 152.687753,252.859113 156.360237,259.855228 158.939553,265.352723 162.327275,269.67472 160.098788,274.192949 158.863932,227.040852 126.569039,234.156887 122.609425,242.549583 123.387313,247.160548 129.203571,241.111851 129.848188,233.605441 129.412217,277.235096 131.513331,287.099581 125.805239,293.786939 128.033725,294.103785 132.492598,289.630549 133.817439,283.711858 133.034405,237.385939 177.98647,248.14229 173.619579,256.832515 172.717051,262.8447 173.507974,269.391774 173.000476,274.324358 175.848322,280.948111 179.911949,274.410976 186.225085,268.857289 187.30792,262.691952 187.04713,256.280993 186.257829,248.074326 184.371279,242.745314 178.082349,256.652047 177.762552,262.797105 177.852613,269.145264 178.752029,276.581248 180.198292,268.873743 181.928155,262.486348 181.303464,256.513551 180.916173
image_0116,146.742973 148.149293,148.866615 165.958185,149.162451 184.8735,150.806164 203.758955,156.924802 220.37441,164.619319 234.074812,173.255143 246.372908,184.592262 258.278489,199.342273 263.499149,214.854721 259.967079,229.15489 248.866026,240.672779 236.575667,252.044416 225.348295,263.643664 207.454831,265.676031 189.425032,268.815472 171.252492,274.566417 154.807872,158.091528 153.340111,165.573146 144.437145,175.440449 139.341328,187.589392 139.243095,198.683208 144.119013,217.551537 146.856903,229.567064 142.359855,241.046915 143.699128,250.597848 148.843973,261.519353 158.788085,209.079959 157.503664,209.032622 170.456085,208.485571 183.067127,208.228357 196.031995,193.072568 193.802793,199.606023 197.979297,207.053952 203.078419,214.742786 199.861355,220.324969 196.547679,174.028858 153.984316,180.656211 151.281681,187.04266 151.973024,192.351317 156.73463,186.071211 156.691763,180.126428 156.52286,225.858218 159.340653,231.890841 155.206399,240.126725 156.187579,246.673777 160.16123,239.018767 160.853513,232.794984 160.703627,173.273526 204.07591,187.785289 208.231803,200.578307 210.190133,205.267787 211.078746,212.449125 210.46827,222.393992 210.233273,234.930991 210.526348,222.714585 227.354633,212.255121 233.595631,203.903802 233.907269,198.510127 232.935938,185.361101 225.740702,178.099122 207.212673,200.569872 212.941318,205.155691 214.109289,212.461895 212.980909,230.732748 211.427228,212.296605 226.967034,204.478184 227.209605,198.851113 226.274081
